visit_date,name,dob
16/06/2016,Samuel Casanova,12/03/1990
16/06/2016,Gerald Orozco,05/10/1990
16/06/2016,Sharon Davis,18/10/1990
16/06/2016,Spencer Spencer,13/10/1991
16/06/2016,Steven Estevez,13/01/1992
16/06/2016,Frances Bateman,06/05/1992
16/06/2016,Roberta Miller,25/06/1992
16/06/2016,William Rasmussen,17/03/1993
16/06/2016,Robert Shepherd,30/03/1993
16/06/2016,Joseph Higgins,09/05/1993
16/06/2016,Dale Kirkwood,22/05/1993
16/06/2016,Geraldine Arreola,27/05/1993
16/06/2016,John Velis,17/06/1993
16/06/2016,Nellie Jaynes,02/08/1993
16/06/2016,Gilbert Mackay,18/08/1993
16/06/2016,Judith Sanders,26/08/1993
16/06/2016,Ray Martin,29/08/1993
16/06/2016,Chris Macmillan,01/09/1993
16/06/2016,Vanessa Aguilar,10/12/1993
16/06/2016,Joshua Heimsness,12/12/1993
16/06/2016,John Bona,22/03/1994
16/06/2016,Antonio Woosley,26/03/1994
16/06/2016,Laura Sotelo,06/04/1994
16/06/2016,Mary Laura,09/04/1994
16/06/2016,Louise Horabik,10/04/1994
16/06/2016,Leonard Hart,27/04/1994
16/06/2016,Deborah Woods,10/05/1994
16/06/2016,William Nork,21/06/1994
16/06/2016,Debbie Mcneil,12/07/1994
16/06/2016,Vincent Greene,29/07/1994
16/06/2016,Juan Copeland,12/08/1994
16/06/2016,Emelda Clay,29/08/1994
16/06/2016,Ruby Stott,31/08/1994
16/06/2016,Roderick Anding,03/09/1994
16/06/2016,Claire Miller,15/09/1994
16/06/2016,Richard Davis,16/09/1994
16/06/2016,Inez Ward,20/10/1994
16/06/2016,Effie Garcia,14/11/1994
16/06/2016,Dong Brett,17/11/1994
16/06/2016,Helen Certain,18/11/1994
16/06/2016,Claudia Hughes,13/12/1994
16/06/2016,Barbara Mchale,19/12/1994
16/06/2016,Brenda Mathis,15/01/1995
16/06/2016,Virginia Smith,02/02/1995
16/06/2016,Frances Netherton,08/02/1995
16/06/2016,Gary Hansberger,08/02/1995
16/06/2016,Joseph Young,17/02/1995
16/06/2016,Rebecca Lynch,25/02/1995
16/06/2016,Caleb Jobe,02/03/1995
16/06/2016,Phillip Daley,12/03/1995
16/06/2016,Luz Connelly,26/03/1995
16/06/2016,Dorothy Elkins,12/04/1995
16/06/2016,Nathaniel Irving,18/04/1995
16/06/2016,Fredrick Acevedo,07/05/1995
16/06/2016,Betty Rowold,21/05/1995
16/06/2016,Walter Chesnutt,24/05/1995
16/06/2016,Nicholas Lewis,04/06/1995
16/06/2016,Nicholas Acosta,05/06/1995
16/06/2016,Theodore Roper,07/06/1995
16/06/2016,Lillie Sikes,27/06/1995
16/06/2016,Karla Breaux,10/07/1995
16/06/2016,Willie Gould,10/07/1995
16/06/2016,Adrienne Ruck,13/07/1995
16/06/2016,Patrick Kerley,13/07/1995
16/06/2016,Deborah Rosenfeld,14/07/1995
16/06/2016,Margo Ward,14/07/1995
16/06/2016,Robert Haine,14/07/1995
16/06/2016,Douglas Medina,19/07/1995
16/06/2016,Ralph Brisson,26/07/1995
16/06/2016,David Lombardi,03/08/1995
16/06/2016,Margaret Magallanes,07/08/1995
16/06/2016,Monica Loureiro,24/08/1995
16/06/2016,Peter Romo,25/08/1995
16/06/2016,Marcia Coleman,08/09/1995
16/06/2016,Sarah Wilds,08/09/1995
16/06/2016,Kathleen Benzi,15/09/1995
16/06/2016,Kenneth Caldeira,15/09/1995
16/06/2016,Thaddeus Diaz,09/10/1995
16/06/2016,Wayne Roop,09/10/1995
16/06/2016,Edward Brown,11/10/1995
16/06/2016,Todd Thompson,13/10/1995
16/06/2016,Virginia Quarry,13/10/1995
16/06/2016,Billy Willick,14/10/1995
16/06/2016,Ofelia Sexton,27/10/1995
16/06/2016,Eula Wright,20/11/1995
16/06/2016,Vickie Carlos,21/11/1995
16/06/2016,Ollie Rogers,25/11/1995
16/06/2016,Jonathan Saballos,28/11/1995
16/06/2016,Dawn Douglas,10/12/1995
16/06/2016,Guillermo Johnson,10/12/1995
16/06/2016,Hazel Jefferies,14/12/1995
16/06/2016,Johnie Johnson,28/12/1995
16/06/2016,Ronald Snook,03/01/1996
16/06/2016,Margaret Hickman,08/01/1996
16/06/2016,Nicole Mcglone,13/01/1996
16/06/2016,Susan Hart,13/01/1996
16/06/2016,Wes Carlson,13/01/1996
16/06/2016,Frances Schiavone,26/01/1996
