name                ,dob       ,visit_date,date      ,theft_date
Clayton Hudson      ,04/06/1996,2016-01-07,2016-01-07,
Daniel Laster       ,31/12/1995,2016-01-07,2016-01-07,
Phillip Harris      ,23/12/1995,2016-01-07,2016-01-07,
John Maynard        ,23/12/1995,2016-01-07,2016-01-07,
Joseph Hirneise     ,18/12/1995,2016-01-07,2016-01-07,
Hulda Nogle         ,13/12/1995,2016-01-07,2016-01-07,
Melanie Bell        ,05/12/1995,2016-01-07,2016-01-07,
Jerry Carroll       ,19/11/1995,2016-01-07,2016-01-07,
Rena Eades          ,16/10/1995,2016-01-07,2016-01-07,
Virginia Blackmon   ,15/10/1995,2016-01-07,2016-01-07,
Kathleen Benzi      ,15/09/1995,2016-01-07,2016-01-07,
Maida Valdez        ,01/01/1996,2016-01-07,2016-01-07,
Jeff Howell         ,13/09/1995,2016-01-07,2016-01-07,
Wendy Faison        ,10/09/1995,2016-01-07,2016-01-07,
Marcia Coleman      ,08/09/1995,2016-01-07,2016-01-07,
Coleen Boender      ,05/09/1995,2016-01-07,2016-01-07,
Amy Cass            ,31/08/1995,2016-01-07,2016-01-07,
Monica Loureiro     ,24/08/1995,2016-01-07,2016-01-07,
Kathryn Chapman     ,18/08/1995,2016-01-07,2016-01-07,
Margaret Magallanes ,07/08/1995,2016-01-07,2016-01-07,
Douglas Medina      ,19/07/1995,2016-01-07,2016-01-07,
Ronald Stovall      ,18/07/1995,2016-01-07,2016-01-07,
Robert Haine        ,14/07/1995,2016-01-07,2016-01-07,
James Foltz         ,13/09/1995,2016-01-07,2016-01-07,
Deborah Rosenfeld   ,14/07/1995,2016-01-07,2016-01-07,
Ronald Snook        ,03/01/1996,2016-01-07,2016-01-07,
James Baker         ,21/01/1996,2016-01-07,2016-01-07,
Michelle Hampton    ,20/05/1996,2016-01-07,2016-01-07,
Cynthia Dominquez   ,16/05/1996,2016-01-07,2016-01-07,
Holly Walker        ,25/04/1996,2016-01-07,2016-01-07,
Pete Bobb           ,22/04/1996,2016-01-07,2016-01-07,
Hazel Olberding     ,16/04/1996,2016-01-07,2016-01-07,
Keith Gienger       ,10/04/1996,2016-01-07,2016-01-07,
James Smith         ,10/04/1996,2016-01-07,2016-01-07,
Patricia Nelson     ,06/04/1996,2016-01-07,2016-01-07,
Cheryl Robinson     ,05/04/1996,2016-01-07,2016-01-07,
Susan Brown         ,23/03/1996,2016-01-07,2016-01-07,
Wes Carlson         ,13/01/1996,2016-01-07,2016-01-07,
Sidney Brockington  ,14/03/1996,2016-01-07,2016-01-07,
Linda Gomez         ,08/03/1996,2016-01-07,2016-01-07,
Haley Fundora       ,02/03/1996,2016-01-07,2016-01-07,
Francis Bunting     ,24/02/1996,2016-01-07,2016-01-07,
Elizabeth Riggs     ,24/02/1996,2016-01-07,2016-01-07,
Arlena Raven        ,11/02/1996,2016-01-07,2016-01-07,
Robert Ewing        ,09/02/1996,2016-01-07,2016-01-07,
Thomas Goleman      ,07/02/1996,2016-01-07,2016-01-07,
John Davis          ,05/02/1996,2016-01-07,2016-01-07,
Tristan Chen        ,01/02/1996,2016-01-07,2016-01-07,
Frances Schiavone   ,26/01/1996,2016-01-07,2016-01-07,
Janis Cook          ,13/03/1996,2016-01-07,2016-01-07,
Edward Capps        ,04/06/1996,2016-01-07,2016-01-07,
Michael Schmidtke   ,23/06/1995,2016-01-07,2016-01-07,
Donna Krick         ,05/06/1995,2016-01-07,2016-01-07,
William Nork        ,21/06/1994,2016-01-07,2016-01-07,
Nick Cropsey        ,04/05/1994,2016-01-07,2016-01-07,
Maria Troutman      ,25/04/1994,2016-01-07,2016-01-07,
Mary Laura          ,09/04/1994,2016-01-07,2016-01-07,
Patricia Johnson    ,07/03/1994,2016-01-07,2016-01-07,
Jeffrey Lamb        ,14/01/1994,2016-01-07,2016-01-07,
Karen Keeney        ,25/12/1993,2016-01-07,2016-01-07,
Chris Macmillan     ,01/09/1993,2016-01-07,2016-01-07,
Judith Sanders      ,26/08/1993,2016-01-07,2016-01-07,
Gilbert Mackay      ,18/08/1993,2016-01-07,2016-01-07,
Christina Trujillo  ,01/07/1994,2016-01-07,2016-01-07,
John Velis          ,17/06/1993,2016-01-07,2016-01-07,
Joseph Higgins      ,09/05/1993,2016-01-07,2016-01-07,
Robert Williams     ,02/04/1993,2016-01-07,2016-01-07,
Robert Shepherd     ,30/03/1993,2016-01-07,2016-01-07,
Darrell Wilson      ,19/01/1993,2016-01-07,2016-01-07,
Joel Heller         ,10/10/1992,2016-01-07,2016-01-07,
Roberta Miller      ,25/06/1992,2016-01-07,2016-01-07,
Frances Bateman     ,06/05/1992,2016-01-07,2016-01-07,
Sherry Wilder       ,26/04/1992,2016-01-07,2016-01-07,
Steven Estevez      ,13/01/1992,2016-01-07,2016-01-07,
Lauryn George       ,17/10/1991,2016-01-07,2016-01-07,
Geraldine Arreola   ,27/05/1993,2016-01-07,2016-01-07,
Anita Ullrich       ,16/06/1995,2016-01-07,2016-01-07,
Carey Hamilton      ,10/07/1994,2016-01-07,2016-01-07,
Tiffany Lee         ,17/07/1994,2016-01-07,2016-01-07,
Walter Chesnutt     ,24/05/1995,2016-01-07,2016-01-07,
Zofia Treinen       ,06/05/1995,2016-01-07,2016-01-07,
Lyle Hemenway       ,03/05/1995,2016-01-07,2016-01-07,
Dorothy Elkins      ,12/04/1995,2016-01-07,2016-01-07,
Leonard Russell     ,09/04/1995,2016-01-07,2016-01-07,
Phyllis Romero      ,24/03/1995,2016-01-07,2016-01-07,
Adrian Whapham      ,11/03/1995,2016-01-07,2016-01-07,
Rebecca Lynch       ,25/02/1995,2016-01-07,2016-01-07,
Joseph Young        ,17/02/1995,2016-01-07,2016-01-07,
Virginia Smith      ,02/02/1995,2016-01-07,2016-01-07,
Victoria Moak       ,16/07/1994,2016-01-07,2016-01-07,
Theresa Dixon       ,28/12/1994,2016-01-07,2016-01-07,
John Shipman        ,09/12/1994,2016-01-07,2016-01-07,
Manuela Hines       ,06/12/1994,2016-01-07,2016-01-07,
Earl Manson         ,01/12/1994,2016-01-07,2016-01-07,
Kirby Roberts       ,26/11/1994,2016-01-07,2016-01-07,
