name,dob,no_theft_count
Henry Brunson,21/06/1996,142
Christine Victoria,26/11/1996,139
Dale Kirkwood,22/05/1993,138
Arthur Freund,07/09/1996,134
Patricia Whitley,08/06/1993,126
Suzanne Larson,02/12/1996,124
Barbara Mchale,19/12/1994,123
Roger Ballance,16/05/1996,123
Ada Tejeda,24/05/1997,123
Myra Segura,28/07/1996,121
Mary Laura,09/04/1994,120
Ronald Stovall,18/07/1995,120
Adrienne Ruck,13/07/1995,119
Earl Weber,24/01/1997,118
Haley Fundora,02/03/1996,117
Frances Bateman,06/05/1992,117
Lynn Bernhart,13/11/1995,116
Sanford Huffman,02/10/1996,115
Cynthia Allen,29/08/1996,115
Jason Villegas,08/06/1996,114
Barbara Grams,03/08/1997,113
Karen Keeney,25/12/1993,112
Judith Sanders,26/08/1993,112
Alice Seidel,18/09/1997,112
Margaret Magallanes,07/08/1995,111
Daniel Laster,31/12/1995,109
Charles Crandall,12/05/1997,108
Coleen Boender,05/09/1995,108
Luz Connelly,26/03/1995,107
Wes Carlson,13/01/1996,106
Raymond Shannon,06/08/1997,105
John Davis,05/02/1996,105
Daniel Guzman,04/10/1997,103
Polly Mujalli,28/05/1997,103
William Bench,04/01/1997,103
Kirby Roberts,26/11/1994,103
Kathleen Benzi,15/09/1995,101
Adrienne Raney,16/04/1997,101
Heather Baxter,21/08/1997,100
Robert Haine,14/07/1995,100
Lucia Davis,22/08/1996,100
Michael Walden,03/09/1996,99
Charles Betts,18/07/1997,98
Leslie Casey,07/03/1997,98
Willie Gould,08/11/1996,97
Leroy Gennaro,30/08/1996,94
Lucille Bell,07/09/1997,94
Florine Kim,14/07/1996,94
Zofia Treinen,06/05/1995,94
Louis Timchula,07/10/1997,94
Cynthia Dominquez,16/05/1996,93
Kim Palmer,27/03/1997,93
Johnie Johnson,28/12/1995,93
Mario Heilmann,30/12/1996,92
Cheryl Robinson,05/04/1996,92
Kellie Florio,13/06/1997,92
Spencer Spencer,13/10/1991,91
Tristan Chen,01/02/1996,89
Karla Breaux,10/07/1995,89
Hulda Nogle,13/12/1995,89
Thaddeus Diaz,09/10/1995,89
Susan Brown,23/03/1996,88
Sharon Barton,08/09/1997,87
Melissa Balser,11/04/1997,86
Maria Troutman,25/04/1994,86
Mary Garret,12/11/1993,85
Walter Chesnutt,24/05/1995,85
Thomas Vanderwal,06/05/1997,85
Morris Thompson,18/07/1997,84
Robert Featherston,08/10/1994,84
Debbie Mcneil,12/07/1994,84
James Smith,10/04/1996,84
Joseph Franklin,08/06/1997,84
Thomas Kim,19/03/1997,83
Jeanette Stupar,10/04/1997,83
Lisa Clark,22/09/1996,83
Wendy Faison,10/09/1995,83
Chris Macmillan,01/09/1993,82
Deborah Rosenfeld,14/07/1995,82
John Bona,22/03/1994,82
Cynthia Barrier,10/03/1996,82
Gary Mullis,27/11/1989,82
Henry Torres,02/05/1996,82
Patrick Kerley,13/07/1995,80
Gary Arnold,30/12/1996,80
