name,dob,theft_count
Karen Keeney,25/12/1993,30
Patricia Whitley,08/06/1993,27
Lynn Bernhart,13/11/1995,27
Christine Victoria,26/11/1996,27
Henry Brunson,21/06/1996,27
Judith Sanders,26/08/1993,27
Dale Kirkwood,22/05/1993,26
Daniel Laster,31/12/1995,26
Roger Ballance,16/05/1996,26
Arthur Freund,07/09/1996,26
Barbara Mchale,19/12/1994,25
Luz Connelly,26/03/1995,25
Suzanne Larson,02/12/1996,25
Kathleen Benzi,15/09/1995,25
Michael Mcbride,26/04/1993,25
Adrienne Ruck,13/07/1995,24
Cheryl Robinson,05/04/1996,24
Florine Kim,14/07/1996,24
Raymond Shannon,06/08/1997,24
Mary Laura,09/04/1994,24
John Davis,05/02/1996,24
Johnie Johnson,28/12/1995,24
Sharon Barton,08/09/1997,23
Charles Crandall,12/05/1997,23
Wes Carlson,13/01/1996,23
Cynthia Allen,29/08/1996,23
Ronald Stovall,18/07/1995,23
Cynthia Dominquez,16/05/1996,23
Charles Betts,18/07/1997,22
Thomas Vanderwal,06/05/1997,22
Myra Segura,28/07/1996,22
Ada Tejeda,24/05/1997,22
Linda Gomez,08/03/1996,22
Sanford Huffman,02/10/1996,22
Earl Weber,24/01/1997,22
Haley Fundora,02/03/1996,22
Robert Haine,14/07/1995,22
Polly Mujalli,28/05/1997,21
Coleen Boender,05/09/1995,21
Alice Seidel,18/09/1997,21
Gary Mullis,27/11/1989,21
Margaret Magallanes,07/08/1995,21
Dean Jennings,30/03/1997,21
Jeanette Stupar,10/04/1997,21
Kellie Florio,13/06/1997,20
Adrienne Raney,16/04/1997,20
Zofia Treinen,06/05/1995,20
Deanne Fisher,08/04/1997,20
Frances Bateman,06/05/1992,20
Robert Featherston,08/10/1994,20
Thaddeus Diaz,09/10/1995,20
David Reid,27/08/1996,20
Jeffrey Lamb,14/01/1994,20
Leslie Casey,07/03/1997,20
Hulda Nogle,13/12/1995,19
Susan Brown,23/03/1996,19
Nellie Jaynes,02/08/1993,19
Thomas Kim,19/03/1997,19
Nicole Mcglone,13/01/1996,19
Joshua Braswell,29/09/1996,19
Maida Valdez,01/01/1996,19
Barbara Grams,03/08/1997,19
Leroy Gennaro,30/08/1996,19
Lisa Hazelwood,14/06/1996,19
William Bench,04/01/1997,19
Fredrick Acevedo,07/05/1995,18
Laura Ortiz,23/07/1997,18
Daniel Guzman,04/10/1997,18
Debbie Mcneil,12/07/1994,18
Morris Thompson,18/07/1997,18
Louis Timchula,07/10/1997,18
David Graves,03/02/1997,18
Owen Wessel,04/12/1996,18
Robert Zohn,22/04/1997,18
Heather Baxter,21/08/1997,18
Maria Troutman,25/04/1994,17
James Smith,10/04/1996,17
German Gallian,12/06/1997,17
Chris Macmillan,01/09/1993,17
Effie Garcia,14/11/1994,17
Janice Mcnatt,28/08/1994,17
Roberta Shelley,01/09/1994,17
Michael Walden,03/09/1996,17
Thomas Collins,01/10/1995,17
Tristan Chen,01/02/1996,17
Etha Holt,05/08/1994,17
James Borders,31/12/1990,17
Benjamin Kave,01/10/1996,17
Kirby Roberts,26/11/1994,17
Victor Ortiz,03/02/1996,17
David Gismondi,21/07/1994,17
Karla Breaux,10/07/1995,17
Lucille Bell,07/09/1997,17
Arlena Raven,11/02/1996,17
Betty Young,15/05/1996,17
Marisa Smiley,23/05/1997,16
Christopher Mather,02/06/1997,16
Melissa Balser,11/04/1997,16
Sammy Bliss,24/04/1997,16
Shirley Walter,04/03/1997,16
Frances Schiavone,26/01/1996,16
Helen Coleman,09/02/1996,16
Cynthia Corbin,21/09/1995,16
Donna Riess,01/05/1997,16
Ralph Brisson,26/07/1995,16
Joseph Franklin,08/06/1997,16
Mary Garret,12/11/1993,16
Lawrence Olsen,15/05/1997,16
Marcellus Hau,24/08/1994,16
Sherry Stewart,07/06/1996,15
Patrick Kerley,13/07/1995,15
Samantha Vazquez,19/02/1996,15
Jean Vayner,15/05/1997,15
Manuela Hines,06/12/1994,15
Claudia Hughes,13/12/1994,15
Clayton Hudson,04/06/1996,15
Mario Heilmann,30/12/1996,15
Phillis Mclain,05/05/1997,15
Lucia Davis,22/08/1996,15
Hazel Jefferies,14/12/1995,15
Daniel Harris,07/10/1997,15
William Rasmussen,17/03/1993,15
Stephanie Malinowski,18/05/1996,15
Maude Faulkner,02/09/1996,15
